time,reference,output,control
0.408,1,0.662511,1.72657
0.409,1,0.663572,1.72291
0.41,1,0.664628,1.71927
0.411,1,0.665679,1.71565
0.412,1,0.666725,1.71204
0.413,1,0.667767,1.70845
0.414,1,0.668804,1.70488
0.415,1,0.669836,1.70132
0.416,1,0.670864,1.69778
0.417,1,0.671888,1.69425
0.418,1,0.672906,1.69074
0.419,1,0.673921,1.68725
0.42,1,0.674931,1.68377
0.421,1,0.675936,1.68031
0.422,1,0.676937,1.67687
0.423,1,0.677933,1.67344
0.424,1,0.678926,1.67003
0.425,1,0.679913,1.66663
0.426,1,0.680897,1.66325
0.427,1,0.681876,1.65988
0.428,1,0.68285,1.65653
0.429,1,0.683821,1.6532
0.43,1,0.684787,1.64988
0.431,1,0.685748,1.64657
0.432,1,0.686706,1.64329
0.433,1,0.687659,1.64001
0.434,1,0.688608,1.63675
0.435,1,0.689553,1.63351
0.436,1,0.690494,1.63028
0.437,1,0.691431,1.62707
0.438,1,0.692363,1.62387
0.439,1,0.693291,1.62068
0.44,1,0.694216,1.61751
0.441,1,0.695136,1.61436
0.442,1,0.696052,1.61122
0.443,1,0.696964,1.60809
0.444,1,0.697872,1.60498
0.445,1,0.698776,1.60189
0.446,1,0.699676,1.5988
0.447,1,0.700572,1.59573
0.448,1,0.701464,1.59268
0.449,1,0.702352,1.58964
0.45,1,0.703236,1.58661
0.451,1,0.704117,1.5836
0.452,1,0.704993,1.5806
0.453,1,0.705866,1.57762
0.454,1,0.706735,1.57465
0.455,1,0.7076,1.57169
0.456,1,0.708461,1.56875
0.457,1,0.709318,1.56582
0.458,1,0.710172,1.5629
0.459,1,0.711022,1.56
0.46,1,0.711868,1.55711
0.461,1,0.71271,1.55423
0.462,1,0.713549,1.55137
0.463,1,0.714384,1.54852
0.464,1,0.715215,1.54568
0.465,1,0.716043,1.54286
0.466,1,0.716867,1.54005
0.467,1,0.717687,1.53725
0.468,1,0.718504,1.53447
0.469,1,0.719317,1.5317
0.47,1,0.720127,1.52894
0.471,1,0.720933,1.52619
0.472,1,0.721735,1.52346
0.473,1,0.722534,1.52074
0.474,1,0.72333,1.51803
0.475,1,0.724122,1.51533
0.476,1,0.72491,1.51265
0.477,1,0.725695,1.50998
0.478,1,0.726477,1.50732
0.479,1,0.727255,1.50467
0.48,1,0.72803,1.50204
0.481,1,0.728801,1.49942
0.482,1,0.729569,1.49681
0.483,1,0.730334,1.49421
0.484,1,0.731095,1.49163
0.485,1,0.731853,1.48905
0.486,1,0.732608,1.48649
0.487,1,0.733359,1.48394
0.488,1,0.734107,1.4814
0.489,1,0.734852,1.47888
0.49,1,0.735594,1.47636
0.491,1,0.736332,1.47386
0.492,1,0.737067,1.47137
0.493,1,0.737799,1.46889
0.494,1,0.738527,1.46642
0.495,1,0.739253,1.46396
0.496,1,0.739975,1.46152
0.497,1,0.740694,1.45908
0.498,1,0.74141,1.45666
0.499,1,0.742123,1.45425
0.5,1,0.742833,1.45184
0.501,1,0.743539,1.44945
0.502,1,0.744243,1.44708
0.503,1,0.744943,1.44471
0.504,1,0.745641,1.44235
0.505,1,0.746335,1.44001
0.506,1,0.747026,1.43767
0.507,1,0.747715,1.43535
0.508,1,0.7484,1.43303
0.509,1,0.749082,1.43073
0.51,1,0.749762,1.42844
0.511,1,0.750438,1.42616
0.512,1,0.751111,1.42389
0.513,1,0.751782,1.42162
0.514,1,0.75245,1.41937
0.515,1,0.753114,1.41714
0.516,1,0.753776,1.41491
0.517,1,0.754435,1.41269
0.518,1,0.755091,1.41048
0.519,1,0.755744,1.40828
0.52,1,0.756395,1.40609
0.521,1,0.757042,1.40391
0.522,1,0.757687,1.40175
0.523,1,0.758329,1.39959
0.524,1,0.758968,1.39744
0.525,1,0.759604,1.3953
0.526,1,0.760238,1.39317
0.527,1,0.760868,1.39105
0.528,1,0.761497,1.38895
0.529,1,0.762122,1.38685
0.53,1,0.762745,1.38476
0.531,1,0.763364,1.38268
0.532,1,0.763982,1.38061
0.533,1,0.764596,1.37855
0.534,1,0.765208,1.3765
0.535,1,0.765817,1.37446
0.536,1,0.766424,1.37242
0.537,1,0.767028,1.3704
0.538,1,0.767629,1.36839
0.539,1,0.768228,1.36639
0.54,1,0.768824,1.36439
0.541,1,0.769418,1.36241
0.542,1,0.770009,1.36043
0.543,1,0.770597,1.35846
0.544,1,0.771183,1.35651
0.545,1,0.771767,1.35456
0.546,1,0.772347,1.35262
0.547,1,0.772926,1.35069
0.548,1,0.773502,1.34877
0.549,1,0.774075,1.34685
0.55,1,0.774646,1.34495
0.551,1,0.775214,1.34305
0.552,1,0.77578,1.34117
0.553,1,0.776344,1.33929
0.554,1,0.776905,1.33742
0.555,1,0.777464,1.33556
0.556,1,0.77802,1.33371
0.557,1,0.778574,1.33187
