time,reference,output,control
0,5,0.002,2
0.001,5,0.003998,2
0.002,5,0.005994,2
0.003,5,0.00798801,2
0.004,5,0.00998002,2
0.005,5,0.01197,2
0.006,5,0.0139581,2
0.007,5,0.0159441,2
0.008,5,0.0179282,2
0.009,5,0.0199102,2
0.01,5,0.0218903,2
0.011,5,0.0238684,2
0.012,5,0.0258446,2
0.013,5,0.0278187,2
0.014,5,0.0297909,2
0.015,5,0.0317611,2
0.016,5,0.0337294,2
0.017,5,0.0356956,2
0.018,5,0.0376599,2
0.019,5,0.0396223,2
0.02,5,0.0415826,2
0.021,5,0.0435411,2
0.022,5,0.0454975,2
0.023,5,0.047452,2
0.024,5,0.0494046,2
0.025,5,0.0513552,2
0.026,5,0.0533038,2
0.027,5,0.0552505,2
0.028,5,0.0571953,2
0.029,5,0.0591381,2
0.03,5,0.0610789,2
0.031,5,0.0630178,2
0.032,5,0.0649548,2
0.033,5,0.0668899,2
0.034,5,0.068823,2
0.035,5,0.0707542,2
0.036,5,0.0726834,2
0.037,5,0.0746107,2
0.038,5,0.0765361,2
0.039,5,0.0784596,2
0.04,5,0.0803811,2
0.041,5,0.0823007,2
0.042,5,0.0842184,2
0.043,5,0.0861342,2
0.044,5,0.0880481,2
0.045,5,0.08996,2
0.046,5,0.0918701,2
0.047,5,0.0937782,2
0.048,5,0.0956844,2
0.049,5,0.0975887,2
0.05,5,0.0994912,2
0.051,5,0.101392,2
0.052,5,0.10329,2
0.053,5,0.105187,2
0.054,5,0.107082,2
0.055,5,0.108975,2
0.056,5,0.110866,2
0.057,5,0.112755,2
0.058,5,0.114642,2
0.059,5,0.116527,2
0.06,5,0.118411,2
0.061,5,0.120293,2
0.062,5,0.122172,2
0.063,5,0.12405,2
0.064,5,0.125926,2
0.065,5,0.1278,2
0.066,5,0.129672,2
0.067,5,0.131543,2
0.068,5,0.133411,2
0.069,5,0.135278,2
0.07,5,0.137142,2
0.071,5,0.139005,2
0.072,5,0.140866,2
0.073,5,0.142725,2
0.074,5,0.144583,2
0.075,5,0.146438,2
0.076,5,0.148292,2
0.077,5,0.150143,2
0.078,5,0.151993,2
0.079,5,0.153841,2
0.08,5,0.155687,2
0.081,5,0.157532,2
0.082,5,0.159374,2
0.083,5,0.161215,2
0.084,5,0.163054,2
0.085,5,0.164891,2
0.086,5,0.166726,2
0.087,5,0.168559,2
0.088,5,0.17039,2
0.089,5,0.17222,2
0.09,5,0.174048,2
0.091,5,0.175874,2
0.092,5,0.177698,2
0.093,5,0.17952,2
0.094,5,0.181341,2
0.095,5,0.183159,2
0.096,5,0.184976,2
0.097,5,0.186791,2
0.098,5,0.188604,2
0.099,5,0.190416,2
0.1,5,0.192225,2
0.101,5,0.194033,2
0.102,5,0.195839,2
0.103,5,0.197643,2
0.104,5,0.199446,2
0.105,5,0.201246,2
0.106,5,0.203045,2
0.107,5,0.204842,2
0.108,5,0.206637,2
0.109,5,0.20843,2
0.11,5,0.210222,2
0.111,5,0.212012,2
0.112,5,0.2138,2
0.113,5,0.215586,2
0.114,5,0.21737,2
0.115,5,0.219153,2
0.116,5,0.220934,2
0.117,5,0.222713,2
0.118,5,0.22449,2
0.119,5,0.226266,2
0.12,5,0.228039,2
0.121,5,0.229811,2
0.122,5,0.231582,2
0.123,5,0.23335,2
0.124,5,0.235117,2
0.125,5,0.236881,2
0.126,5,0.238645,2
0.127,5,0.240406,2
0.128,5,0.242166,2
0.129,5,0.243923,2
0.13,5,0.245679,2
0.131,5,0.247434,2
0.132,5,0.249186,2
0.133,5,0.250937,2
0.134,5,0.252686,2
0.135,5,0.254434,2
0.136,5,0.256179,2
0.137,5,0.257923,2
0.138,5,0.259665,2
0.139,5,0.261405,2
0.14,5,0.263144,2
0.141,5,0.264881,2
0.142,5,0.266616,2
0.143,5,0.268349,2
0.144,5,0.270081,2
0.145,5,0.271811,2
0.146,5,0.273539,2
0.147,5,0.275265,2
0.148,5,0.27699,2
0.149,5,0.278713,2
0.15,5,0.280435,2
0.151,5,0.282154,2
0.152,5,0.283872,2
0.153,5,0.285588,2
0.154,5,0.287302,2
0.155,5,0.289015,2
0.156,5,0.290726,2
0.157,5,0.292435,2
0.158,5,0.294143,2
0.159,5,0.295849,2
0.16,5,0.297553,2
0.161,5,0.299255,2
0.162,5,0.300956,2
0.163,5,0.302655,2
0.164,5,0.304353,2
0.165,5,0.306048,2
0.166,5,0.307742,2
0.167,5,0.309434,2
0.168,5,0.311125,2
0.169,5,0.312814,2
0.17,5,0.314501,2
0.171,5,0.316187,2
0.172,5,0.31787,2
0.173,5,0.319553,2
0.174,5,0.321233,2
0.175,5,0.322912,2
0.176,5,0.324589,2
0.177,5,0.326264,2
0.178,5,0.327938,2
0.179,5,0.32961,2
0.18,5,0.33128,2
0.181,5,0.332949,2
0.182,5,0.334616,2
0.183,5,0.336282,2
0.184,5,0.337945,2
0.185,5,0.339607,2
0.186,5,0.341268,2
0.187,5,0.342926,2
0.188,5,0.344584,2
0.189,5,0.346239,2
0.19,5,0.347893,2
0.191,5,0.349545,2
0.192,5,0.351195,2
0.193,5,0.352844,2
0.194,5,0.354491,2
0.195,5,0.356137,2
0.196,5,0.357781,2
0.197,5,0.359423,2
0.198,5,0.361063,2
0.199,5,0.362702,2
0.2,5,0.36434,2
0.201,5,0.365975,2
0.202,5,0.367609,2
0.203,5,0.369242,2
0.204,5,0.370872,2
0.205,5,0.372502,2
0.206,5,0.374129,2
0.207,5,0.375755,2
0.208,5,0.377379,2
0.209,5,0.379002,2
0.21,5,0.380623,2
0.211,5,0.382242,2
0.212,5,0.38386,2
0.213,5,0.385476,2
0.214,5,0.387091,2
0.215,5,0.388704,2
0.216,5,0.390315,2
0.217,5,0.391925,2
0.218,5,0.393533,2
0.219,5,0.395139,2
0.22,5,0.396744,2
0.221,5,0.398347,2
0.222,5,0.399949,2
0.223,5,0.401549,2
0.224,5,0.403147,2
0.225,5,0.404744,2
0.226,5,0.406339,2
0.227,5,0.407933,2
0.228,5,0.409525,2
0.229,5,0.411116,2
0.23,5,0.412705,2
0.231,5,0.414292,2
0.232,5,0.415878,2
0.233,5,0.417462,2
0.234,5,0.419044,2
0.235,5,0.420625,2
0.236,5,0.422205,2
0.237,5,0.423782,2
0.238,5,0.425359,2
0.239,5,0.426933,2
0.24,5,0.428506,2
0.241,5,0.430078,2
0.242,5,0.431648,2
0.243,5,0.433216,2
0.244,5,0.434783,2
0.245,5,0.436348,2
0.246,5,0.437912,2
0.247,5,0.439474,2
0.248,5,0.441034,2
0.249,5,0.442593,2
0.25,5,0.444151,2
0.251,5,0.445707,2
0.252,5,0.447261,2
0.253,5,0.448814,2
0.254,5,0.450365,2
0.255,5,0.451914,2
0.256,5,0.453462,2
0.257,5,0.455009,2
0.258,5,0.456554,2
0.259,5,0.458097,2
0.26,5,0.459639,2
0.261,5,0.46118,2
0.262,5,0.462719,2
0.263,5,0.464256,2
0.264,5,0.465792,2
0.265,5,0.467326,2
0.266,5,0.468858,2
0.267,5,0.47039,2
0.268,5,0.471919,2
0.269,5,0.473447,2
0.27,5,0.474974,2
0.271,5,0.476499,2
0.272,5,0.478022,2
0.273,5,0.479544,2
0.274,5,0.481065,2
0.275,5,0.482584,2
0.276,5,0.484101,2
0.277,5,0.485617,2
0.278,5,0.487131,2
0.279,5,0.488644,2
0.28,5,0.490156,2
0.281,5,0.491665,2
0.282,5,0.493174,2
0.283,5,0.494681,2
0.284,5,0.496186,2
0.285,5,0.49769,2
0.286,5,0.499192,2
0.287,5,0.500693,2
0.288,5,0.502192,2
0.289,5,0.50369,2
0.29,5,0.505186,2
0.291,5,0.506681,2
0.292,5,0.508174,2
0.293,5,0.509666,2
0.294,5,0.511157,2
0.295,5,0.512645,2
0.296,5,0.514133,2
0.297,5,0.515619,2
0.298,5,0.517103,2
0.299,5,0.518586,2
0.3,5,0.520067,2
0.301,5,0.521547,2
0.302,5,0.523026,2
0.303,5,0.524503,2
0.304,5,0.525978,2
0.305,5,0.527452,2
0.306,5,0.528925,2
0.307,5,0.530396,2
0.308,5,0.531865,2
0.309,5,0.533334,2
0.31,5,0.5348,2
0.311,5,0.536265,2
0.312,5,0.537729,2
0.313,5,0.539191,2
0.314,5,0.540652,2
0.315,5,0.542112,2
0.316,5,0.54357,2
0.317,5,0.545026,2
0.318,5,0.546481,2
0.319,5,0.547934,2
0.32,5,0.549386,2
0.321,5,0.550837,2
0.322,5,0.552286,2
0.323,5,0.553734,2
0.324,5,0.55518,2
0.325,5,0.556625,2
0.326,5,0.558068,2
0.327,5,0.55951,2
0.328,5,0.560951,2
0.329,5,0.56239,2
0.33,5,0.563828,2
0.331,5,0.565264,2
0.332,5,0.566698,2
0.333,5,0.568132,2
0.334,5,0.569564,2
0.335,5,0.570994,2
0.336,5,0.572423,2
0.337,5,0.573851,2
0.338,5,0.575277,2
0.339,5,0.576701,2
0.34,5,0.578125,2
0.341,5,0.579547,2
0.342,5,0.580967,2
0.343,5,0.582386,2
0.344,5,0.583804,2
0.345,5,0.58522,2
0.346,5,0.586635,2
0.347,5,0.588048,2
0.348,5,0.58946,2
0.349,5,0.590871,2
0.35,5,0.59228,2
0.351,5,0.593687,2
0.352,5,0.595094,2
0.353,5,0.596499,2
0.354,5,0.597902,2
0.355,5,0.599304,2
0.356,5,0.600705,2
0.357,5,0.602104,2
0.358,5,0.603502,2
0.359,5,0.604899,2
0.36,5,0.606294,2
0.361,5,0.607687,2
0.362,5,0.60908,2
0.363,5,0.610471,2
0.364,5,0.61186,2
0.365,5,0.613248,2
0.366,5,0.614635,2
0.367,5,0.61602,2
0.368,5,0.617404,2
0.369,5,0.618787,2
0.37,5,0.620168,2
0.371,5,0.621548,2
0.372,5,0.622927,2
0.373,5,0.624304,2
0.374,5,0.625679,2
0.375,5,0.627054,2
0.376,5,0.628427,2
0.377,5,0.629798,2
