time,reference,output,u_sat,u_unsat,integrator,disturbance
0.106,3,0.304567,3,4.47042,-2.09402,0
0.107,3,0.307263,3,4.44572,-2.09855,0
0.108,3,0.309955,3,4.42139,-2.10296,0
0.109,3,0.312646,3,4.39743,-2.10726,0
0.11,3,0.315333,3,4.37383,-2.11144,0
0.111,3,0.318018,3,4.35059,-2.11551,0
0.112,3,0.3207,3,4.3277,-2.11947,0
0.113,3,0.323379,3,4.30516,-2.12331,0
0.114,3,0.326055,3,4.28296,-2.12705,0
0.115,3,0.328729,3,4.26109,-2.13068,0
0.116,3,0.331401,3,4.23955,-2.13421,0
0.117,3,0.334069,3,4.21834,-2.13763,0
0.118,3,0.336735,3,4.19745,-2.14095,0
0.119,3,0.339398,3,4.17688,-2.14418,0
0.12,3,0.342059,3,4.15661,-2.1473,0
0.121,3,0.344717,3,4.13666,-2.15032,0
0.122,3,0.347372,3,4.117,-2.15325,0
0.123,3,0.350025,3,4.09764,-2.15609,0
0.124,3,0.352675,3,4.07858,-2.15883,0
0.125,3,0.355322,3,4.0598,-2.16148,0
0.126,3,0.357967,3,4.04131,-2.16405,0
0.127,3,0.360609,3,4.0231,-2.16652,0
0.128,3,0.363248,3,4.00517,-2.16891,0
0.129,3,0.365885,3,3.9875,-2.17121,0
0.13,3,0.368519,3,3.97011,-2.17342,0
0.131,3,0.371151,3,3.95297,-2.17556,0
0.132,3,0.373779,3,3.9361,-2.17761,0
0.133,3,0.376406,3,3.91948,-2.17958,0
0.134,3,0.379029,3,3.90312,-2.18147,0
0.135,3,0.38165,3,3.887,-2.18328,0
0.136,3,0.384269,3,3.87112,-2.18502,0
0.137,3,0.386884,3,3.85549,-2.18668,0
0.138,3,0.389497,3,3.8401,-2.18827,0
0.139,3,0.392108,3,3.82493,-2.18979,0
0.14,3,0.394716,3,3.81,-2.19123,0
0.141,3,0.397321,3,3.7953,-2.1926,0
0.142,3,0.399924,3,3.78081,-2.1939,0
0.143,3,0.402524,3,3.76655,-2.19513,0
0.144,3,0.405121,3,3.7525,-2.1963,0
0.145,3,0.407716,3,3.73867,-2.1974,0
0.146,3,0.410309,3,3.72505,-2.19843,0
0.147,3,0.412898,3,3.71163,-2.1994,0
0.148,3,0.415485,3,3.69842,-2.2003,0
0.149,3,0.41807,3,3.68541,-2.20115,0
0.15,3,0.420652,3,3.67259,-2.20193,0
0.151,3,0.423231,3,3.65998,-2.20265,0
0.152,3,0.425808,3,3.64755,-2.20331,0
0.153,3,0.428382,3,3.63531,-2.20391,0
0.154,3,0.430954,3,3.62326,-2.20445,0
0.155,3,0.433523,3,3.61139,-2.20494,0
0.156,3,0.436089,3,3.5997,-2.20537,0
0.157,3,0.438653,3,3.58819,-2.20575,0
0.158,3,0.441214,3,3.57685,-2.20607,0
0.159,3,0.443773,3,3.56569,-2.20634,0
