time,reference,output,u_sat,u_unsat,integrator,disturbance
0,3,0.003,3,72,-0.066,0
0.001,3,0.005997,3,11.73,-0.071733,0
0.002,3,0.008991,3,11.7009,-0.0774399,0
0.003,3,0.011982,3,11.6718,-0.0831207,0
0.004,3,0.01497,3,11.6429,-0.0887756,0
0.005,3,0.0179551,3,11.614,-0.0944046,0
0.006,3,0.0209371,3,11.5853,-0.100008,0
0.007,3,0.0239162,3,11.5566,-0.105585,0
0.008,3,0.0268923,3,11.528,-0.111137,0
0.009,3,0.0298654,3,11.4995,-0.116664,0
0.01,3,0.0328355,3,11.4711,-0.122165,0
0.011,3,0.0358027,3,11.4428,-0.12764,0
0.012,3,0.0387669,3,11.4145,-0.13309,0
0.013,3,0.0417281,3,11.3864,-0.138516,0
0.014,3,0.0446864,3,11.3583,-0.143916,0
0.015,3,0.0476417,3,11.3303,-0.149291,0
0.016,3,0.050594,3,11.3025,-0.154641,0
0.017,3,0.0535434,3,11.2747,-0.159966,0
0.018,3,0.0564899,3,11.2469,-0.165267,0
0.019,3,0.0594334,3,11.2193,-0.170542,0
0.02,3,0.062374,3,11.1918,-0.175794,0
0.021,3,0.0653116,3,11.1643,-0.18102,0
0.022,3,0.0682463,3,11.1369,-0.186222,0
0.023,3,0.071178,3,11.1097,-0.1914,0
0.024,3,0.0741069,3,11.0825,-0.196554,0
0.025,3,0.0770328,3,11.0553,-0.201683,0
0.026,3,0.0799557,3,11.0283,-0.206789,0
0.027,3,0.0828758,3,11.0014,-0.21187,0
0.028,3,0.0857929,3,10.9745,-0.216927,0
0.029,3,0.0887071,3,10.9477,-0.221961,0
0.03,3,0.0916184,3,10.921,-0.226971,0
0.031,3,0.0945268,3,10.8944,-0.231957,0
0.032,3,0.0974322,3,10.8679,-0.236919,0
0.033,3,0.100335,3,10.8414,-0.241858,0
0.034,3,0.103234,3,10.815,-0.246773,0
0.035,3,0.106131,3,10.7887,-0.251665,0
0.036,3,0.109025,3,10.7625,-0.256534,0
0.037,3,0.111916,3,10.7364,-0.261379,0
0.038,3,0.114804,3,10.7104,-0.266202,0
0.039,3,0.117689,3,10.6844,-0.271001,0
0.04,3,0.120572,3,10.6585,-0.275777,0
0.041,3,0.123451,3,10.6327,-0.28053,0
0.042,3,0.126328,3,10.607,-0.285261,0
0.043,3,0.129201,3,10.5814,-0.289969,0
0.044,3,0.132072,3,10.5558,-0.294654,0
0.045,3,0.13494,3,10.5303,-0.299316,0
0.046,3,0.137805,3,10.5049,-0.303956,0
0.047,3,0.140667,3,10.4796,-0.308573,0
0.048,3,0.143527,3,10.4544,-0.313168,0
0.049,3,0.146383,3,10.4292,-0.317741,0
0.05,3,0.149237,3,10.4041,-0.322292,0
0.051,3,0.152087,3,10.3791,-0.32682,0
0.052,3,0.154935,3,10.3542,-0.331326,0
0.053,3,0.15778,3,10.3293,-0.33581,0
0.054,3,0.160623,3,10.3045,-0.340273,0
0.055,3,0.163462,3,10.2798,-0.344713,0
0.056,3,0.166299,3,10.2552,-0.349132,0
0.057,3,0.169132,3,10.2307,-0.353529,0
0.058,3,0.171963,3,10.2062,-0.357904,0
0.059,3,0.174791,3,10.1818,-0.362258,0
0.06,3,0.177616,3,10.1575,-0.36659,0
0.061,3,0.180439,3,10.1333,-0.370901,0
0.062,3,0.183258,3,10.1091,-0.375191,0
0.063,3,0.186075,3,10.085,-0.379459,0
0.064,3,0.188889,3,10.061,-0.383706,0
0.065,3,0.1917,3,10.037,-0.387932,0
0.066,3,0.194508,3,10.0132,-0.392137,0
0.067,3,0.197314,3,9.98939,-0.396321,0
0.068,3,0.200117,3,9.96567,-0.400484,0
0.069,3,0.202917,3,9.94203,-0.404626,0
0.07,3,0.205714,3,9.91846,-0.408747,0
0.071,3,0.208508,3,9.89496,-0.412848,0
0.072,3,0.211299,3,9.87154,-0.416928,0
0.073,3,0.214088,3,9.84819,-0.420987,0
0.074,3,0.216874,3,9.82491,-0.425026,0
0.075,3,0.219657,3,9.80171,-0.429045,0
0.076,3,0.222437,3,9.77857,-0.433043,0
0.077,3,0.225215,3,9.75551,-0.437021,0
0.078,3,0.22799,3,9.73253,-0.440979,0
0.079,3,0.230762,3,9.70961,-0.444917,0
0.08,3,0.233531,3,9.68676,-0.448834,0
0.081,3,0.236298,3,9.66399,-0.452732,0
0.082,3,0.239061,3,9.64129,-0.456609,0
0.083,3,0.241822,3,9.61865,-0.460467,0
0.084,3,0.24458,3,9.59609,-0.464305,0
0.085,3,0.247336,3,9.5736,-0.468123,0
0.086,3,0.250088,3,9.55118,-0.471922,0
0.087,3,0.252838,3,9.52883,-0.4757,0
0.088,3,0.255585,3,9.50655,-0.47946,0
0.089,3,0.25833,3,9.48434,-0.4832,0
0.09,3,0.261072,3,9.46219,-0.48692,0
0.091,3,0.263811,3,9.44012,-0.490621,0
0.092,3,0.266547,3,9.41812,-0.494303,0
0.093,3,0.26928,3,9.39618,-0.497966,0
