time,reference,output,u_sat,u_unsat,integrator,disturbance
0,3,0.002,2,72,-0.347,0
0.001,3,0.003998,2,10.911,-0.388557,0
0.002,3,0.005994,2,10.7784,-0.429453,0
0.003,3,0.00798801,2,10.6477,-0.469698,0
0.004,3,0.00998002,2,10.5191,-0.509301,0
0.005,3,0.01197,2,10.3923,-0.548273,0
0.006,3,0.0139581,2,10.2675,-0.586622,0
0.007,3,0.0159441,2,10.1445,-0.624359,0
0.008,3,0.0179282,2,10.0234,-0.661492,0
0.009,3,0.0199102,2,9.90413,-0.69803,0
0.01,3,0.0218903,2,9.78663,-0.733983,0
0.011,3,0.0238684,2,9.67089,-0.76936,0
0.012,3,0.0258446,2,9.55688,-0.804168,0
0.013,3,0.0278187,2,9.44459,-0.838417,0
0.014,3,0.0297909,2,9.33399,-0.872115,0
0.015,3,0.0317611,2,9.22505,-0.90527,0
0.016,3,0.0337294,2,9.11774,-0.93789,0
0.017,3,0.0356956,2,9.01205,-0.969984,0
0.018,3,0.0376599,2,8.90794,-1.00156,0
0.019,3,0.0396223,2,8.8054,-1.03262,0
0.02,3,0.0415826,2,8.70439,-1.06319,0
0.021,3,0.0435411,2,8.6049,-1.09325,0
0.022,3,0.0454975,2,8.50691,-1.12283,0
0.023,3,0.047452,2,8.41039,-1.15193,0
0.024,3,0.0494046,2,8.31532,-1.18055,0
0.025,3,0.0513552,2,8.22168,-1.20871,0
0.026,3,0.0533038,2,8.12944,-1.23641,0
0.027,3,0.0552505,2,8.03859,-1.26365,0
0.028,3,0.0571953,2,7.9491,-1.29045,0
0.029,3,0.0591381,2,7.86096,-1.31682,0
0.03,3,0.0610789,2,7.77414,-1.34275,0
0.031,3,0.0630178,2,7.68863,-1.36825,0
0.032,3,0.0649548,2,7.6044,-1.39334,0
0.033,3,0.0668899,2,7.52143,-1.41801,0
0.034,3,0.068823,2,7.43972,-1.44227,0
0.035,3,0.0707542,2,7.35923,-1.46614,0
0.036,3,0.0726834,2,7.27994,-1.48961,0
0.037,3,0.0746107,2,7.20185,-1.51269,0
0.038,3,0.0765361,2,7.12494,-1.53539,0
0.039,3,0.0784596,2,7.04918,-1.55771,0
0.04,3,0.0803811,2,6.97455,-1.57966,0
0.041,3,0.0823007,2,6.90105,-1.60125,0
0.042,3,0.0842184,2,6.82866,-1.62248,0
0.043,3,0.0861342,2,6.75735,-1.64335,0
0.044,3,0.0880481,2,6.68711,-1.66387,0
0.045,3,0.08996,2,6.61793,-1.68405,0
0.046,3,0.0918701,2,6.54978,-1.70388,0
0.047,3,0.0937782,2,6.48267,-1.72339,0
0.048,3,0.0956844,2,6.41656,-1.74257,0
0.049,3,0.0975887,2,6.35144,-1.76142,0
0.05,3,0.0994912,2,6.2873,-1.77995,0
0.051,3,0.101392,2,6.22413,-1.79817,0
0.052,3,0.10329,2,6.1619,-1.81608,0
0.053,3,0.105187,2,6.10061,-1.83369,0
0.054,3,0.107082,2,6.04025,-1.851,0
0.055,3,0.108975,2,5.98079,-1.86801,0
0.056,3,0.110866,2,5.92222,-1.88473,0
0.057,3,0.112755,2,5.86453,-1.90116,0
0.058,3,0.114642,2,5.80771,-1.91731,0
0.059,3,0.116527,2,5.75175,-1.93319,0
0.06,3,0.118411,2,5.69662,-1.94879,0
0.061,3,0.120293,2,5.64233,-1.96412,0
0.062,3,0.122172,2,5.58885,-1.97918,0
0.063,3,0.12405,2,5.53618,-1.99398,0
0.064,3,0.125926,2,5.48429,-2.00853,0
0.065,3,0.1278,2,5.43319,-2.02282,0
0.066,3,0.129672,2,5.38286,-2.03686,0
0.067,3,0.131543,2,5.33328,-2.05066,0
0.068,3,0.133411,2,5.28445,-2.06421,0
0.069,3,0.135278,2,5.23635,-2.07753,0
0.07,3,0.137142,2,5.18897,-2.09061,0
0.071,3,0.139005,2,5.14231,-2.10346,0
0.072,3,0.140866,2,5.09635,-2.11608,0
0.073,3,0.142725,2,5.05108,-2.12847,0
0.074,3,0.144583,2,5.00649,-2.14065,0
0.075,3,0.146438,2,4.96258,-2.15261,0
0.076,3,0.148292,2,4.91932,-2.16435,0
0.077,3,0.150143,2,4.87671,-2.17588,0
0.078,3,0.151993,2,4.83475,-2.18721,0
0.079,3,0.153841,2,4.79341,-2.19832,0
0.08,3,0.155687,2,4.7527,-2.20924,0
0.081,3,0.157532,2,4.7126,-2.21996,0
0.082,3,0.159374,2,4.67311,-2.23048,0
0.083,3,0.161215,2,4.6342,-2.24081,0
0.084,3,0.163054,2,4.59589,-2.25095,0
0.085,3,0.164891,2,4.55815,-2.26091,0
0.086,3,0.166726,2,4.52097,-2.27068,0
0.087,3,0.168559,2,4.48436,-2.28027,0
0.088,3,0.17039,2,4.4483,-2.28968,0
0.089,3,0.17222,2,4.41278,-2.29891,0
0.09,3,0.174048,2,4.3778,-2.30797,0
0.091,3,0.175874,2,4.34334,-2.31686,0
0.092,3,0.177698,2,4.3094,-2.32559,0
0.093,3,0.17952,2,4.27597,-2.33414,0
0.094,3,0.181341,2,4.24304,-2.34254,0
0.095,3,0.183159,2,4.21061,-2.35077,0
0.096,3,0.184976,2,4.17867,-2.35885,0
0.097,3,0.186791,2,4.14721,-2.36677,0
0.098,3,0.188604,2,4.11623,-2.37454,0
0.099,3,0.190416,2,4.08571,-2.38215,0
0.1,3,0.192225,2,4.05564,-2.38962,0
0.101,3,0.194033,2,4.02604,-2.39695,0
0.102,3,0.195839,2,3.99687,-2.40412,0
0.103,3,0.197643,2,3.96815,-2.41116,0
0.104,3,0.199446,2,3.93986,-2.41806,0
0.105,3,0.201246,2,3.912,-2.42482,0
0.106,3,0.203045,2,3.88455,-2.43144,0
0.107,3,0.204842,2,3.85752,-2.43793,0
