time,reference,output,u_sat,u_unsat,integrator,disturbance
0,3,0.002,2,72,0.003,0
0.001,3,0.003998,2,11.961,0.005998,0
0.002,3,0.005994,2,11.962,0.008994,0
0.003,3,0.00798801,2,11.9631,0.011988,0
0.004,3,0.00998002,2,11.9641,0.01498,0
0.005,3,0.01197,2,11.9652,0.01797,0
0.006,3,0.0139581,2,11.9662,0.0209581,0
0.007,3,0.0159441,2,11.9673,0.0239441,0
0.008,3,0.0179282,2,11.9683,0.0269282,0
0.009,3,0.0199102,2,11.9694,0.0299102,0
0.01,3,0.0218903,2,11.9704,0.0328903,0
0.011,3,0.0238684,2,11.9715,0.0358684,0
0.012,3,0.0258446,2,11.9726,0.0388446,0
0.013,3,0.0278187,2,11.9736,0.0418187,0
0.014,3,0.0297909,2,11.9747,0.0447909,0
0.015,3,0.0317611,2,11.9758,0.0477611,0
0.016,3,0.0337294,2,11.9768,0.0507294,0
0.017,3,0.0356956,2,11.9779,0.0536956,0
0.018,3,0.0376599,2,11.979,0.0566599,0
0.019,3,0.0396223,2,11.9801,0.0596223,0
0.02,3,0.0415826,2,11.9811,0.0625826,0
0.021,3,0.0435411,2,11.9822,0.0655411,0
0.022,3,0.0454975,2,11.9833,0.0684975,0
0.023,3,0.047452,2,11.9844,0.071452,0
0.024,3,0.0494046,2,11.9855,0.0744046,0
0.025,3,0.0513552,2,11.9865,0.0773552,0
0.026,3,0.0533038,2,11.9876,0.0803038,0
0.027,3,0.0552505,2,11.9887,0.0832505,0
0.028,3,0.0571953,2,11.9898,0.0861953,0
0.029,3,0.0591381,2,11.9909,0.0891381,0
0.03,3,0.0610789,2,11.992,0.0920789,0
0.031,3,0.0630178,2,11.9931,0.0950178,0
0.032,3,0.0649548,2,11.9942,0.0979548,0
0.033,3,0.0668899,2,11.9953,0.10089,0
0.034,3,0.068823,2,11.9964,0.103823,0
0.035,3,0.0707542,2,11.9975,0.106754,0
0.036,3,0.0726834,2,11.9986,0.109683,0
0.037,3,0.0746107,2,11.9997,0.112611,0
0.038,3,0.0765361,2,12.0008,0.115536,0
0.039,3,0.0784596,2,12.002,0.11846,0
0.04,3,0.0803811,2,12.0031,0.121381,0
0.041,3,0.0823007,2,12.0042,0.124301,0
0.042,3,0.0842184,2,12.0053,0.127218,0
0.043,3,0.0861342,2,12.0064,0.130134,0
0.044,3,0.0880481,2,12.0076,0.133048,0
0.045,3,0.08996,2,12.0087,0.13596,0
0.046,3,0.0918701,2,12.0098,0.13887,0
0.047,3,0.0937782,2,12.0109,0.141778,0
