time,reference,output,u_sat,u_unsat,integrator,disturbance
0,3,0.003,3,72,0.003,0
0.001,3,0.005997,3,11.937,0.005997,0
0.002,3,0.008991,3,11.9341,0.008991,0
0.003,3,0.011982,3,11.9311,0.011982,0
0.004,3,0.01497,3,11.9282,0.01497,0
0.005,3,0.0179551,3,11.9253,0.0179551,0
0.006,3,0.0209371,3,11.9223,0.0209371,0
0.007,3,0.0239162,3,11.9194,0.0239162,0
0.008,3,0.0268923,3,11.9165,0.0268923,0
0.009,3,0.0298654,3,11.9136,0.0298654,0
0.01,3,0.0328355,3,11.9107,0.0328355,0
0.011,3,0.0358027,3,11.9078,0.0358027,0
0.012,3,0.0387669,3,11.9049,0.0387669,0
0.013,3,0.0417281,3,11.9019,0.0417281,0
0.014,3,0.0446864,3,11.899,0.0446864,0
0.015,3,0.0476417,3,11.8961,0.0476417,0
0.016,3,0.050594,3,11.8933,0.050594,0
0.017,3,0.0535434,3,11.8904,0.0535434,0
0.018,3,0.0564899,3,11.8875,0.0564899,0
0.019,3,0.0594334,3,11.8846,0.0594334,0
0.02,3,0.062374,3,11.8817,0.062374,0
0.021,3,0.0653116,3,11.8788,0.0653116,0
0.022,3,0.0682463,3,11.8759,0.0682463,0
0.023,3,0.071178,3,11.8731,0.071178,0
0.024,3,0.0741069,3,11.8702,0.0741069,0
0.025,3,0.0770328,3,11.8673,0.0770328,0
0.026,3,0.0799557,3,11.8644,0.0799557,0
0.027,3,0.0828758,3,11.8616,0.0828758,0
0.028,3,0.0857929,3,11.8587,0.0857929,0
0.029,3,0.0887071,3,11.8559,0.0887071,0
0.03,3,0.0916184,3,11.853,0.0916184,0
0.031,3,0.0945268,3,11.8502,0.0945268,0
0.032,3,0.0974322,3,11.8473,0.0974322,0
0.033,3,0.100335,3,11.8445,0.100335,0
0.034,3,0.103234,3,11.8416,0.103234,0
0.035,3,0.106131,3,11.8388,0.106131,0
0.036,3,0.109025,3,11.8359,0.109025,0
0.037,3,0.111916,3,11.8331,0.111916,0
0.038,3,0.114804,3,11.8303,0.114804,0
0.039,3,0.117689,3,11.8274,0.117689,0
0.04,3,0.120572,3,11.8246,0.120572,0
