time,reference,output,u_sat,u_unsat,integrator,disturbance
0,3,0.002,2,72,-0.067,0
0.001,3,0.003998,2,11.751,-0.073753,0
0.002,3,0.005994,2,11.7228,-0.0804798,0
0.003,3,0.00798801,2,11.6947,-0.0871804,0
0.004,3,0.00998002,2,11.6666,-0.0938551,0
0.005,3,0.01197,2,11.6387,-0.100504,0
0.006,3,0.0139581,2,11.6108,-0.107126,0
0.007,3,0.0159441,2,11.583,-0.113723,0
0.008,3,0.0179282,2,11.5553,-0.120295,0
0.009,3,0.0199102,2,11.5277,-0.12684,0
0.01,3,0.0218903,2,11.5002,-0.133361,0
0.011,3,0.0238684,2,11.4728,-0.139855,0
0.012,3,0.0258446,2,11.4454,-0.146324,0
0.013,3,0.0278187,2,11.4181,-0.152768,0
0.014,3,0.0297909,2,11.3909,-0.159187,0
0.015,3,0.0317611,2,11.3638,-0.165581,0
0.016,3,0.0337294,2,11.3368,-0.171949,0
0.017,3,0.0356956,2,11.3099,-0.178293,0
0.018,3,0.0376599,2,11.283,-0.184612,0
0.019,3,0.0396223,2,11.2562,-0.190906,0
0.02,3,0.0415826,2,11.2295,-0.197175,0
0.021,3,0.0435411,2,11.2029,-0.203419,0
0.022,3,0.0454975,2,11.1764,-0.209639,0
0.023,3,0.047452,2,11.15,-0.215835,0
0.024,3,0.0494046,2,11.1236,-0.222006,0
0.025,3,0.0513552,2,11.0973,-0.228152,0
0.026,3,0.0533038,2,11.0711,-0.234275,0
0.027,3,0.0552505,2,11.045,-0.240373,0
0.028,3,0.0571953,2,11.0189,-0.246447,0
0.029,3,0.0591381,2,10.993,-0.252498,0
0.03,3,0.0610789,2,10.9671,-0.258524,0
0.031,3,0.0630178,2,10.9413,-0.264526,0
0.032,3,0.0649548,2,10.9156,-0.270505,0
0.033,3,0.0668899,2,10.8899,-0.27646,0
0.034,3,0.068823,2,10.8644,-0.282391,0
0.035,3,0.0707542,2,10.8389,-0.288299,0
0.036,3,0.0726834,2,10.8135,-0.294183,0
0.037,3,0.0746107,2,10.7881,-0.300044,0
0.038,3,0.0765361,2,10.7629,-0.305881,0
0.039,3,0.0784596,2,10.7377,-0.311695,0
0.04,3,0.0803811,2,10.7126,-0.317486,0
0.041,3,0.0823007,2,10.6876,-0.323254,0
0.042,3,0.0842184,2,10.6626,-0.328999,0
0.043,3,0.0861342,2,10.6378,-0.334721,0
0.044,3,0.0880481,2,10.613,-0.34042,0
0.045,3,0.08996,2,10.5883,-0.346097,0
0.046,3,0.0918701,2,10.5636,-0.35175,0
0.047,3,0.0937782,2,10.5391,-0.357381,0
0.048,3,0.0956844,2,10.5146,-0.36299,0
0.049,3,0.0975887,2,10.4902,-0.368575,0
0.05,3,0.0994912,2,10.4658,-0.374139,0
0.051,3,0.101392,2,10.4416,-0.37968,0
0.052,3,0.10329,2,10.4174,-0.385199,0
0.053,3,0.105187,2,10.3933,-0.390695,0
0.054,3,0.107082,2,10.3692,-0.39617,0
0.055,3,0.108975,2,10.3453,-0.401622,0
0.056,3,0.110866,2,10.3214,-0.407052,0
0.057,3,0.112755,2,10.2976,-0.412461,0
0.058,3,0.114642,2,10.2738,-0.417847,0
0.059,3,0.116527,2,10.2501,-0.423212,0
0.06,3,0.118411,2,10.2265,-0.428555,0
0.061,3,0.120293,2,10.203,-0.433877,0
0.062,3,0.122172,2,10.1796,-0.439177,0
0.063,3,0.12405,2,10.1562,-0.444455,0
0.064,3,0.125926,2,10.1329,-0.449712,0
0.065,3,0.1278,2,10.1096,-0.454947,0
0.066,3,0.129672,2,10.0865,-0.460162,0
